robID	color	count
0	4278190335	966

0	4278255360	632

0	4278255615	856

0	4294901760	1056

1	4278190335	471

1	4278255360	872

1	4278255615	1549

1	4294901760	618

2	4278190335	772

2	4278255360	872

2	4278255615	967

2	4294901760	899

3	4278190335	691

3	4278255360	1032

3	4278255615	608

3	4294901760	1179

4	4278190335	1192

4	4278255360	830

4	4278255615	417

4	4294901760	1071

5	4278190335	885

5	4278255360	991

5	4278255615	894

5	4294901760	740

6	4278190335	604

6	4278255360	544

6	4278255615	1527

6	4294901760	835

7	4278190335	693

7	4278255360	1244

7	4278255615	579

7	4294901760	994

8	4278190335	801

8	4278255360	846

8	4278255615	793

8	4294901760	1070

9	4278190335	545

9	4278255360	821

9	4278255615	905

9	4294901760	1239

10	4278190335	672

10	4278255360	1238

10	4278255615	758

10	4294901760	842

11	4278190335	949

11	4278255360	927

11	4278255615	917

11	4294901760	717

12	4278190335	642

12	4278255360	668

12	4278255615	915

12	4294901760	1285

13	4278190335	1004

13	4278255360	1081

13	4278255615	786

13	4294901760	639

14	4278190335	1119

14	4278255360	676

14	4278255615	892

14	4294901760	823

15	4278190335	1043

15	4278255360	1068

15	4278255615	682

15	4294901760	717

16	4278190335	488

16	4278255360	662

16	4278255615	1179

16	4294901760	1181

17	4278190335	548

17	4278255360	851

17	4278255615	1396

17	4294901760	715

18	4278190335	439

18	4278255360	583

18	4278255615	1549

18	4294901760	939

19	4278190335	774

19	4278255360	1013

19	4278255615	504

19	4294901760	1219

20	4278190335	777

20	4278255360	1059

20	4278255615	1034

20	4294901760	640

21	4278190335	792

21	4278255360	794

21	4278255615	1087

21	4294901760	837

22	4278190335	1096

22	4278255360	529

22	4278255615	1164

22	4294901760	721

23	4278190335	920

23	4278255360	529

23	4278255615	1086

23	4294901760	975

24	4278190335	590

24	4278255360	813

24	4278255615	863

24	4294901760	1244

25	4278190335	783

25	4278255360	537

25	4278255615	735

25	4294901760	1455

26	4278190335	1122

26	4278255360	657

26	4278255615	894

26	4294901760	837

27	4278190335	1042

