Parameters,Average_Swarm_Quality
"(0.4, 0.0, 0.0)",0.3290208333333191
"(0.4, 0.0, 0.2)",0.32809966666668156
"(0.4, 0.0, 0.4)",0.3088096249997928
"(0.4, 0.0, 0.6)",0.20470633333334284
"(0.4, 0.0, 0.8)",0.20277208333335656
"(0.4, 0.0, 1.0)",0.20214241666668042
"(0.4, 0.2, 0.0)",0.3290083333333215
"(0.4, 0.2, 0.2)",0.3289362499999955
"(0.4, 0.2, 0.4)",0.3439784999999914
"(0.4, 0.2, 0.6)",0.4453470833333262
"(0.4, 0.2, 0.8)",0.31269370833331495
"(0.4, 0.2, 1.0)",0.27221912499995604
"(0.4, 0.4, 0.0)",0.32885416666666334
"(0.4, 0.4, 0.2)",0.3390290833331405
"(0.4, 0.4, 0.4)",0.7581269166669089
"(0.4, 0.4, 0.6)",0.5505545000000274
"(0.4, 0.4, 0.8)",0.4104218333332428
"(0.4, 0.4, 1.0)",0.3523517500000321
"(0.4, 0.6, 0.0)",0.32841666666666836
"(0.4, 0.6, 0.2)",0.7408015416668637
"(0.4, 0.6, 0.4)",0.7878215000000608
"(0.4, 0.6, 0.6)",0.5594773333333737
"(0.4, 0.6, 0.8)",0.4348416249999359
"(0.4, 0.6, 1.0)",0.38346316666662406
"(0.4, 0.8, 0.0)",0.3274250000000012
"(0.4, 0.8, 0.2)",0.8302403333338984
"(0.4, 0.8, 0.4)",0.7845357499999284
"(0.4, 0.8, 0.6)",0.5627066666667417
"(0.4, 0.8, 0.8)",0.43813970833323074
"(0.4, 0.8, 1.0)",0.38537391666661414
"(0.4, 1.0, 0.0)",0.8306572500004726
"(0.4, 1.0, 0.2)",0.8330979583337863
"(0.4, 1.0, 0.4)",0.7817342083331482
"(0.4, 1.0, 0.6)",0.5591670833333781
"(0.4, 1.0, 0.8)",0.4365046249999043
"(0.4, 1.0, 1.0)",0.3866124999999153
"(0.4, 1.2, 0.0)",0.8312294583337835
"(0.4, 1.2, 0.2)",0.8353094166671915
"(0.4, 1.2, 0.4)",0.7804955416665116
"(0.4, 1.2, 0.6)",0.5607934583333762
"(0.4, 1.2, 0.8)",0.43605629166660426
"(0.4, 1.2, 1.0)",0.3846600833332708
"(0.6, 0.0, 0.0)",0.32898749999999244
"(0.6, 0.0, 0.2)",0.32774908333335023
"(0.6, 0.0, 0.4)",0.3098368749998557
"(0.6, 0.0, 0.6)",0.20558816666668192
"(0.6, 0.0, 0.8)",0.2018295833333485
"(0.6, 0.0, 1.0)",0.20199400000001957
"(0.6, 0.2, 0.0)",0.3290208333333212
